x_um,y_um,z_um,lateral_err_um,axial_err_um,n_views,photons,frame
5.575334597888265797e+00,4.870146326450539576e+00,-2.292540456132490245e+00,4.706110450289843761e-02,5.197982426323884131e-02,5.000000000000000000e+00,4.951683898925781250e+03,1.000000000000000000e+00
-9.614047489506011956e+00,2.204295015068104213e+00,-1.012651924866504904e+00,4.129674660493858063e-02,4.241991266701642532e-02,7.000000000000000000e+00,5.764909545898437500e+03,1.000000000000000000e+00
4.714219491922255756e+00,-5.987106318369020741e+00,-2.310950408149992086e+00,4.923698795439239440e-02,5.177194921136831635e-02,6.000000000000000000e+00,4.495189239501953125e+03,1.000000000000000000e+00
-1.037803995469803731e+01,3.467023633453281128e-02,1.982792957353540109e+00,3.215399459435661078e-02,3.369421783249659796e-02,6.000000000000000000e+00,3.937312347412109375e+03,1.000000000000000000e+00
-1.321831713866775182e+01,-1.149737524384399556e+01,-2.354219808538317693e+00,4.497063926746720786e-02,5.074954482209270007e-02,4.000000000000000000e+00,1.544168548583984375e+03,1.000000000000000000e+00
5.586332344512221937e+00,4.912646911289002105e+00,-2.193243245293556853e+00,4.450463356456887953e-02,4.915615678853553494e-02,5.000000000000000000e+00,4.622043762207031250e+03,2.000000000000000000e+00
4.674441298267147715e+00,-6.074139763462363284e+00,-2.279884817202872505e+00,4.814201140173399174e-02,5.343353512553419143e-02,5.000000000000000000e+00,3.540720092773437500e+03,2.000000000000000000e+00
-9.588412433237410326e+00,2.223551316221376251e+00,-1.000476389896019391e+00,3.790460500104397834e-02,3.893551347286406533e-02,7.000000000000000000e+00,5.534823547363281250e+03,2.000000000000000000e+00
-1.031855322656780238e+01,6.714813419614573675e-02,2.044285803275845748e+00,3.520693816504423534e-02,3.689340185298291275e-02,6.000000000000000000e+00,2.957306854248046875e+03,2.000000000000000000e+00
-1.312351371994384586e+01,-1.135160418172723595e+01,-2.342179163586126212e+00,5.244297025701390169e-02,5.918209998823299040e-02,4.000000000000000000e+00,1.420277557373046875e+03,2.000000000000000000e+00
2.262251525455764689e+00,-7.521093453845697496e+00,-2.512722978230238713e+00,7.524908603072391622e-02,1.010769348330772671e-01,3.000000000000000000e+00,1.189081726074218750e+03,2.000000000000000000e+00
5.514535957810386968e+00,4.892099712598292349e+00,-2.380292255556144987e+00,5.764424202609631787e-02,6.040548529411447071e-02,6.000000000000000000e+00,9.889383850097656250e+03,3.000000000000000000e+00
4.678325775927699048e+00,-6.061217847844615036e+00,-2.313932897368208064e+00,5.277944551168221865e-02,5.858069227978106308e-02,5.000000000000000000e+00,3.672308135986328125e+03,3.000000000000000000e+00
-9.542786910078927320e+00,2.159899786273460354e+00,-1.096455165781019092e+00,3.037616537678456199e-02,3.120231951366245898e-02,7.000000000000000000e+00,4.329925903320312500e+03,3.000000000000000000e+00
-4.809113814375800544e+00,2.203521321801733546e+00,1.104024527746193668e-01,3.503201534438812881e-02,3.598479671231074456e-02,7.000000000000000000e+00,3.100284637451171875e+03,3.000000000000000000e+00
-1.050116409749112023e+01,1.816511567589884635e-01,1.892006371112803453e+00,6.477573992627837229e-02,6.124845363363690814e-02,4.000000000000000000e+00,2.976023895263671875e+03,3.000000000000000000e+00
-1.015191519562083045e+01,-1.134886792326802230e+00,-5.555654283835655960e-01,5.123381859745668176e-02,5.534153104211894658e-02,3.000000000000000000e+00,1.738550842285156250e+03,3.000000000000000000e+00
5.587438814229205519e+00,4.911861142931305935e+00,-2.196885582703079542e+00,4.988379822844131450e-02,5.509753952624609624e-02,5.000000000000000000e+00,4.798552795410156250e+03,4.000000000000000000e+00
4.716367431594523651e+00,-6.052407158680599863e+00,-2.060223295479811867e+00,5.438236329649906442e-02,6.546705161274794793e-02,4.000000000000000000e+00,2.751231872558593750e+03,4.000000000000000000e+00
-9.736307882921188650e+00,-1.760987606769693681e+00,3.275080335357281602e-01,4.515584294988259084e-02,4.638396657886986740e-02,7.000000000000000000e+00,5.338990325927734375e+03,4.000000000000000000e+00
-9.465280260076248453e+00,2.100455081776120281e+00,-1.206518203228478470e+00,4.011577615620616488e-02,4.221647293255119393e-02,6.000000000000000000e+00,2.607679992675781250e+03,4.000000000000000000e+00
-4.851007561527641343e+00,2.139665127810279621e+00,-5.754335405869828030e-02,6.277166952456221527e-02,6.605876144826273999e-02,6.000000000000000000e+00,4.100450531005859375e+03,4.000000000000000000e+00
-1.310160535422578221e+01,-1.136101051603101908e+01,-2.213437341207084241e+00,8.219208599807087401e-02,1.124377466080032917e-01,3.000000000000000000e+00,1.267739807128906250e+03,4.000000000000000000e+00
5.578888447441580745e+00,4.883931463032191722e+00,-2.305243860080055107e+00,4.771411730636043735e-02,5.270108848183594624e-02,5.000000000000000000e+00,4.736594726562500000e+03,5.000000000000000000e+00
4.742682944366760189e+00,-5.988052920199755214e+00,-2.227464815798290143e+00,5.876627739371072245e-02,6.036457008719314093e-02,7.000000000000000000e+00,4.111116821289062500e+03,5.000000000000000000e+00
-1.322174579857334464e+01,-1.144012469370607832e+01,-2.421733528995831719e+00,5.453704265018841091e-02,6.154526899159196845e-02,4.000000000000000000e+00,1.569055480957031250e+03,5.000000000000000000e+00
-7.536306462803174178e+00,-1.483113101678062762e+00,2.916254042438266580e+00,1.019983267548398576e-01,1.227885166679194701e-01,4.000000000000000000e+00,5.353925415039062500e+03,6.000000000000000000e+00
5.537910563676766706e+00,4.892299660693781860e+00,-2.401164353927564221e+00,5.749132427420686198e-02,6.024524255887673402e-02,6.000000000000000000e+00,9.395507598876953125e+03,6.000000000000000000e+00
4.674567529874323668e+00,-5.954069988685652071e+00,-2.363942976662835704e+00,4.155164222952202613e-02,4.369092425288890330e-02,6.000000000000000000e+00,4.554490966796875000e+03,6.000000000000000000e+00
-1.317998139304715721e+01,-1.135239944042271887e+01,-2.363893388593343303e+00,5.746649629456725139e-02,6.042515294139169657e-02,6.000000000000000000e+00,3.181343994140625000e+03,6.000000000000000000e+00
